uniprot_id,gene_name,length,entry_type,description,is_essential
sp|A6T532|XGPT_KLEP7,gpt,152,reviewed (sp),sp|A6T532|XGPT_KLEP7 Xanthine-guanine phosphoribosyltransferase OS=Klebsiella pneumoniae subsp. pneu,False
sp|A6T5B6|PPNP_KLEP7,ppnP,94,reviewed (sp),sp|A6T5B6|PPNP_KLEP7 Pyrimidine/purine nucleoside phosphorylase OS=Klebsiella pneumoniae subsp. pneu,False
sp|A6T5F6|THII_KLEP7,thiI,482,reviewed (sp),sp|A6T5F6|THII_KLEP7 tRNA sulfurtransferase OS=Klebsiella pneumoniae subsp. pneumoniae (strain ATCC ,False
tr|A6T7T3|A6T7T3_KLEP7,argD,406,unreviewed (tr),tr|A6T7T3|A6T7T3_KLEP7 Acetylornithine/succinyldiaminopimelate aminotransferase OS=Klebsiella pneumo,False
sp|A6T7U7|CHBG_KLEP7,chbG,252,reviewed (sp),sp|A6T7U7|CHBG_KLEP7 Chitooligosaccharide deacetylase OS=Klebsiella pneumoniae subsp. pneumoniae (st,False
tr|A6T8K4|A6T8K4_KLEP7,argD,401,unreviewed (tr),tr|A6T8K4|A6T8K4_KLEP7 Acetylornithine/succinyldiaminopimelate aminotransferase OS=Klebsiella pneumo,False
sp|A6T9C8|HPXW_KLEP7,hpxW,528,reviewed (sp),sp|A6T9C8|HPXW_KLEP7 Oxamate amidohydrolase proenzyme OS=Klebsiella pneumoniae subsp. pneumoniae (st,False
sp|A6T9H9|KATG_KLEP7,katG,725,reviewed (sp),sp|A6T9H9|KATG_KLEP7 Catalase-peroxidase OS=Klebsiella pneumoniae subsp. pneumoniae (strain ATCC 700,False
sp|A6TAH1|SELO_KLEP7,ydiU,480,reviewed (sp),sp|A6TAH1|SELO_KLEP7 Protein nucleotidyltransferase YdiU OS=Klebsiella pneumoniae subsp. pneumoniae ,False
tr|A6TAP3|A6TAP3_KLEP7,prsA,312,unreviewed (tr),tr|A6TAP3|A6TAP3_KLEP7 Ribose-phosphate pyrophosphokinase OS=Klebsiella pneumoniae subsp. pneumoniae,False
sp|A6TBV3|NUDI_KLEP7,nudI,140,reviewed (sp),sp|A6TBV3|NUDI_KLEP7 Nucleoside triphosphatase NudI OS=Klebsiella pneumoniae subsp. pneumoniae (stra,False
sp|A6TC19|FADJ_KLEP7,fadJ,714,reviewed (sp),sp|A6TC19|FADJ_KLEP7 Fatty acid oxidation complex subunit alpha OS=Klebsiella pneumoniae subsp. pneu,False
sp|A6TCD6|RLMN_KLEP7,rlmN,388,reviewed (sp),sp|A6TCD6|RLMN_KLEP7 Dual-specificity RNA methyltransferase RlmN OS=Klebsiella pneumoniae subsp. pne,False
tr|A6TCG6|A6TCG6_KLEP7,hmpA,396,unreviewed (tr),tr|A6TCG6|A6TCG6_KLEP7 Flavohemoprotein OS=Klebsiella pneumoniae subsp. pneumoniae (strain ATCC 7007,False
sp|A6TD54|PYRG_KLEP7,pyrG,545,reviewed (sp),sp|A6TD54|PYRG_KLEP7 CTP synthase OS=Klebsiella pneumoniae subsp. pneumoniae (strain ATCC 700721 / M,False
tr|A6TDF6|A6TDF6_KLEP7,recB,1178,unreviewed (tr),tr|A6TDF6|A6TDF6_KLEP7 RecBCD enzyme subunit RecB OS=Klebsiella pneumoniae subsp. pneumoniae (strain,False
tr|A6TDW4|A6TDW4_KLEP7,yggV,197,unreviewed (tr),tr|A6TDW4|A6TDW4_KLEP7 dITP/XTP pyrophosphatase OS=Klebsiella pneumoniae subsp. pneumoniae (strain A,False
sp|A6TE31|HLDE_KLEP7,hldE,477,reviewed (sp),sp|A6TE31|HLDE_KLEP7 Bifunctional protein HldE OS=Klebsiella pneumoniae subsp. pneumoniae (strain AT,False
sp|A6TE35|CCA_KLEP7,cca,413,reviewed (sp),sp|A6TE35|CCA_KLEP7 Multifunctional CCA protein OS=Klebsiella pneumoniae subsp. pneumoniae (strain A,False
sp|A6TEB2|PAT_KLEP7,patA,459,reviewed (sp),sp|A6TEB2|PAT_KLEP7 Putrescine aminotransferase OS=Klebsiella pneumoniae subsp. pneumoniae (strain A,False
tr|A6TEJ7|A6TEJ7_KLEP7,hflB,644,unreviewed (tr),tr|A6TEJ7|A6TEJ7_KLEP7 ATP-dependent zinc metalloprotease FtsH OS=Klebsiella pneumoniae subsp. pneum,False
tr|A6TEZ8|A6TEZ8_KLEP7,argD,406,unreviewed (tr),tr|A6TEZ8|A6TEZ8_KLEP7 Acetylornithine/succinyldiaminopimelate aminotransferase OS=Klebsiella pneumo,False
tr|A6TF52|A6TF52_KLEP7,asd,368,unreviewed (tr),tr|A6TF52|A6TF52_KLEP7 Aspartate-semialdehyde dehydrogenase OS=Klebsiella pneumoniae subsp. pneumoni,False
sp|A6TF98|ARNA_KLEP7,arnA,661,reviewed (sp),sp|A6TF98|ARNA_KLEP7 Bifunctional polymyxin resistance protein ArnA OS=Klebsiella pneumoniae subsp. ,False
tr|A6TFN0|A6TFN0_KLEP7,dfp,405,unreviewed (tr),tr|A6TFN0|A6TFN0_KLEP7 Coenzyme A biosynthesis bifunctional protein CoaBC OS=Klebsiella pneumoniae s,False
sp|A6TG34|GLMU_KLEP7,glmU,456,reviewed (sp),sp|A6TG34|GLMU_KLEP7 Bifunctional protein GlmU OS=Klebsiella pneumoniae subsp. pneumoniae (strain AT,False
sp|A6TGB8|PFKA_KLEP7,pfkA,320,reviewed (sp),sp|A6TGB8|PFKA_KLEP7 ATP-dependent 6-phosphofructokinase OS=Klebsiella pneumoniae subsp. pneumoniae ,False
tr|A6TGC9|A6TGC9_KLEP7,metL,810,unreviewed (tr),tr|A6TGC9|A6TGC9_KLEP7 Bifunctional aspartokinase/homoserine dehydrogenase OS=Klebsiella pneumoniae ,False
tr|A6TGH2|A6TGH2_KLEP7,wecA,334,unreviewed (tr),tr|A6TGH2|A6TGH2_KLEP7 Undecaprenyl-phosphate alpha-N-acetylglucosaminyl 1-phosphate transferase OS=,False
sp|A6TGQ3|NUDC_KLEP7,nudC,257,reviewed (sp),sp|A6TGQ3|NUDC_KLEP7 NAD-capped RNA hydrolase NudC OS=Klebsiella pneumoniae subsp. pneumoniae (strai,False
tr|A6TGV7|A6TGV7_KLEP7,yjbN,313,unreviewed (tr),tr|A6TGV7|A6TGV7_KLEP7 tRNA-dihydrouridine(20/20a) synthase OS=Klebsiella pneumoniae subsp. pneumoni,False
tr|A6TH82|A6TH82_KLEP7,yjeF,508,unreviewed (tr),tr|A6TH82|A6TH82_KLEP7 Bifunctional NAD(P)H-hydrate repair enzyme OS=Klebsiella pneumoniae subsp. pn,False
tr|A6THZ9|A6THZ9_KLEP7,deoD,230,unreviewed (tr),tr|A6THZ9|A6THZ9_KLEP7 Purine nucleoside phosphorylase DeoD-type OS=Klebsiella pneumoniae subsp. pne,False
sp|A6T4F5|DNAJ_KLEP7,dnaJ,377,reviewed (sp),sp|A6T4F5|DNAJ_KLEP7 Chaperone protein DnaJ OS=Klebsiella pneumoniae subsp. pneumoniae (strain ATCC ,True
tr|A6T4F9|A6T4F9_KLEP7,ribF,312,unreviewed (tr),tr|A6T4F9|A6T4F9_KLEP7 Riboflavin biosynthesis protein OS=Klebsiella pneumoniae subsp. pneumoniae (s,False
tr|A6T4G0|A6T4G0_KLEP7,ileS,922,unreviewed (tr),tr|A6T4G0|A6T4G0_KLEP7 Isoleucine--tRNA ligase OS=Klebsiella pneumoniae subsp. pneumoniae (strain AT,True
sp|A6T4G1|LSPA_KLEP7,lspA,166,reviewed (sp),sp|A6T4G1|LSPA_KLEP7 Lipoprotein signal peptidase OS=Klebsiella pneumoniae subsp. pneumoniae (strain,False
sp|A6T4G3|ISPH_KLEP7,ispH,316,reviewed (sp),sp|A6T4G3|ISPH_KLEP7 4-hydroxy-3-methylbut-2-enyl diphosphate reductase OS=Klebsiella pneumoniae sub,False
tr|A6T4H5|A6T4H5_KLEP7,citE2,289,unreviewed (tr),tr|A6T4H5|A6T4H5_KLEP7 Citrate lyase subunit beta OS=Klebsiella pneumoniae subsp. pneumoniae (strain,False
sp|A6T4H8|DAPB_KLEP7,dapB,273,reviewed (sp),sp|A6T4H8|DAPB_KLEP7 4-hydroxy-tetrahydrodipicolinate reductase OS=Klebsiella pneumoniae subsp. pneu,False
tr|A6T4H9|A6T4H9_KLEP7,carA,391,unreviewed (tr),tr|A6T4H9|A6T4H9_KLEP7 Carbamoyl phosphate synthase small chain OS=Klebsiella pneumoniae subsp. pneu,False
sp|A6T4I3|KEFC_KLEP7,kefC,621,reviewed (sp),sp|A6T4I3|KEFC_KLEP7 Glutathione-regulated potassium-efflux system protein KefC OS=Klebsiella pneumo,False
sp|A6T4I7|RSMA_KLEP7,rsmA,273,reviewed (sp),sp|A6T4I7|RSMA_KLEP7 Ribosomal RNA small subunit methyltransferase A OS=Klebsiella pneumoniae subsp.,False
tr|A6T4I8|A6T4I8_KLEP7,pdxA,329,unreviewed (tr),tr|A6T4I8|A6T4I8_KLEP7 4-hydroxythreonine-4-phosphate dehydrogenase OS=Klebsiella pneumoniae subsp. ,False
tr|A6T4I9|A6T4I9_KLEP7,surA,428,unreviewed (tr),tr|A6T4I9|A6T4I9_KLEP7 Chaperone SurA OS=Klebsiella pneumoniae subsp. pneumoniae (strain ATCC 700721,False
tr|A6T4J6|A6T4J6_KLEP7,rluA,219,unreviewed (tr),tr|A6T4J6|A6T4J6_KLEP7 Pseudouridine synthase OS=Klebsiella pneumoniae subsp. pneumoniae (strain ATC,False
tr|A6T4J9|A6T4J9_KLEP7,araD,231,unreviewed (tr),tr|A6T4J9|A6T4J9_KLEP7 L-ribulose-5-phosphate 4-epimerase OS=Klebsiella pneumoniae subsp. pneumoniae,False
sp|A6T4K0|ARAA_KLEP7,araA,500,reviewed (sp),sp|A6T4K0|ARAA_KLEP7 L-arabinose isomerase OS=Klebsiella pneumoniae subsp. pneumoniae (strain ATCC 7,False
sp|A6T4L2|AROD_KLEP7,aroD,251,reviewed (sp),sp|A6T4L2|AROD_KLEP7 3-dehydroquinate dehydratase OS=Klebsiella pneumoniae subsp. pneumoniae (strain,False
tr|A6T4L4|A6T4L4_KLEP7,aroE,287,unreviewed (tr),tr|A6T4L4|A6T4L4_KLEP7 Shikimate dehydrogenase (NADP(+)) OS=Klebsiella pneumoniae subsp. pneumoniae ,False
sp|A6T4L7|LEUC_KLEP7,leuC,466,reviewed (sp),sp|A6T4L7|LEUC_KLEP7 3-isopropylmalate dehydratase large subunit OS=Klebsiella pneumoniae subsp. pne,False
tr|A6T4L8|A6T4L8_KLEP7,leuB,363,unreviewed (tr),tr|A6T4L8|A6T4L8_KLEP7 3-isopropylmalate dehydrogenase OS=Klebsiella pneumoniae subsp. pneumoniae (s,False
sp|A6T4L9|LEU1_KLEP7,leuA,523,reviewed (sp),sp|A6T4L9|LEU1_KLEP7 2-isopropylmalate synthase OS=Klebsiella pneumoniae subsp. pneumoniae (strain A,False
tr|A6T4M1|A6T4M1_KLEP7,ilvI,574,unreviewed (tr),tr|A6T4M1|A6T4M1_KLEP7 Acetolactate synthase OS=Klebsiella pneumoniae subsp. pneumoniae (strain ATCC,False
tr|A6T4M2|A6T4M2_KLEP7,ilvH,163,unreviewed (tr),tr|A6T4M2|A6T4M2_KLEP7 Acetolactate synthase small subunit OS=Klebsiella pneumoniae subsp. pneumonia,False
tr|A6T4M7|A6T4M7_KLEP7,ftsI,588,unreviewed (tr),"tr|A6T4M7|A6T4M7_KLEP7 Peptidoglycan D,D-transpeptidase FtsI OS=Klebsiella pneumoniae subsp. pneumon",True
tr|A6T4M9|A6T4M9_KLEP7,murF,452,unreviewed (tr),tr|A6T4M9|A6T4M9_KLEP7 UDP-N-acetylmuramoyl-tripeptide--D-alanyl-D-alanine ligase OS=Klebsiella pneu,True
sp|A6T4N0|MRAY_KLEP7,mraY,360,reviewed (sp),sp|A6T4N0|MRAY_KLEP7 Phospho-N-acetylmuramoyl-pentapeptide-transferase OS=Klebsiella pneumoniae subs,True
tr|A6T4N1|A6T4N1_KLEP7,murD,438,unreviewed (tr),tr|A6T4N1|A6T4N1_KLEP7 UDP-N-acetylmuramoylalanine--D-glutamate ligase OS=Klebsiella pneumoniae subs,True
tr|A6T4N2|A6T4N2_KLEP7,ftsW,424,unreviewed (tr),tr|A6T4N2|A6T4N2_KLEP7 Probable peptidoglycan glycosyltransferase FtsW OS=Klebsiella pneumoniae subs,True
sp|A6T4N3|MURG_KLEP7,murG,356,reviewed (sp),sp|A6T4N3|MURG_KLEP7 UDP-N-acetylglucosamine--N-acetylmuramyl-(pentapeptide) pyrophosphoryl-undecapr,True
sp|A6T4N4|MURC_KLEP7,murC,491,reviewed (sp),sp|A6T4N4|MURC_KLEP7 UDP-N-acetylmuramate--L-alanine ligase OS=Klebsiella pneumoniae subsp. pneumoni,True
tr|A6T4N5|A6T4N5_KLEP7,ddl,306,unreviewed (tr),tr|A6T4N5|A6T4N5_KLEP7 D-alanine--D-alanine ligase OS=Klebsiella pneumoniae subsp. pneumoniae (strai,False
sp|A6T4N9|LPXC_KLEP7,lpxC,305,reviewed (sp),sp|A6T4N9|LPXC_KLEP7 UDP-3-O-acyl-N-acetylglucosamine deacetylase OS=Klebsiella pneumoniae subsp. pn,True
sp|A6T4P1|SECA_KLEP7,secA,901,reviewed (sp),sp|A6T4P1|SECA_KLEP7 Protein translocase subunit SecA OS=Klebsiella pneumoniae subsp. pneumoniae (st,True
tr|A6T4P2|A6T4P2_KLEP7,mutT,130,unreviewed (tr),tr|A6T4P2|A6T4P2_KLEP7 8-oxo-dGTP diphosphatase OS=Klebsiella pneumoniae subsp. pneumoniae (strain A,False
sp|A6T4P6|GUAC_KLEP7,guaC,347,reviewed (sp),sp|A6T4P6|GUAC_KLEP7 GMP reductase OS=Klebsiella pneumoniae subsp. pneumoniae (strain ATCC 700721 / ,False
tr|A6T4Q9|A6T4Q9_KLEP7,lpdA,474,unreviewed (tr),tr|A6T4Q9|A6T4Q9_KLEP7 Dihydrolipoyl dehydrogenase OS=Klebsiella pneumoniae subsp. pneumoniae (strai,False
tr|A6T4R3|A6T4R3_KLEP7,acnB,851,unreviewed (tr),tr|A6T4R3|A6T4R3_KLEP7 Aconitate hydratase B OS=Klebsiella pneumoniae subsp. pneumoniae (strain ATCC,False
sp|A6T4R5|SPED_KLEP7,speD,264,reviewed (sp),sp|A6T4R5|SPED_KLEP7 S-adenosylmethionine decarboxylase proenzyme OS=Klebsiella pneumoniae subsp. pn,False
sp|A6T4R6|SPEE_KLEP7,speE,286,reviewed (sp),sp|A6T4R6|SPEE_KLEP7 Polyamine aminopropyltransferase OS=Klebsiella pneumoniae subsp. pneumoniae (st,False
tr|A6T4S2|A6T4S2_KLEP7,hpt,182,unreviewed (tr),tr|A6T4S2|A6T4S2_KLEP7 Hypoxanthine phosphoribosyltransferase OS=Klebsiella pneumoniae subsp. pneumo,False
tr|A6T4S8|A6T4S8_KLEP7,panD,126,unreviewed (tr),tr|A6T4S8|A6T4S8_KLEP7 Aspartate 1-decarboxylase OS=Klebsiella pneumoniae subsp. pneumoniae (strain ,False
sp|A6T4S9|PANC_KLEP7,panC,284,reviewed (sp),sp|A6T4S9|PANC_KLEP7 Pantothenate synthetase OS=Klebsiella pneumoniae subsp. pneumoniae (strain ATCC,False
sp|A6T4T0|PANB_KLEP7,panB,263,reviewed (sp),sp|A6T4T0|PANB_KLEP7 3-methyl-2-oxobutanoate hydroxymethyltransferase OS=Klebsiella pneumoniae subsp,False
sp|A6T4V8|GSA_KLEP7,hemL,426,reviewed (sp),"sp|A6T4V8|GSA_KLEP7 Glutamate-1-semialdehyde 2,1-aminomutase OS=Klebsiella pneumoniae subsp. pneumon",False
sp|A6T4V9|CLCA_KLEP7,clcA,472,reviewed (sp),sp|A6T4V9|CLCA_KLEP7 H(+)/Cl(-) exchange transporter ClcA OS=Klebsiella pneumoniae subsp. pneumoniae,False
sp|A6T4W3|MTNN_KLEP7,mtnN,232,reviewed (sp),sp|A6T4W3|MTNN_KLEP7 5'-methylthioadenosine/S-adenosylhomocysteine nucleosidase OS=Klebsiella pneumo,False
tr|A6T4W5|A6T4W5_KLEP7,degP,477,unreviewed (tr),tr|A6T4W5|A6T4W5_KLEP7 peptidase Do OS=Klebsiella pneumoniae subsp. pneumoniae (strain ATCC 700721 /,False
sp|A6T4W8|DAPD_KLEP7,dapD,274,reviewed (sp),"sp|A6T4W8|DAPD_KLEP7 2,3,4,5-tetrahydropyridine-2,6-dicarboxylate N-succinyltransferase OS=Klebsiell",False
tr|A6T4W9|A6T4W9_KLEP7,glnD,887,unreviewed (tr),tr|A6T4W9|A6T4W9_KLEP7 Bifunctional uridylyltransferase/uridylyl-removing enzyme OS=Klebsiella pneum,False
tr|A6T4X0|A6T4X0_KLEP7,map,264,unreviewed (tr),tr|A6T4X0|A6T4X0_KLEP7 Methionine aminopeptidase OS=Klebsiella pneumoniae subsp. pneumoniae (strain ,False
sp|A6T4X3|PYRH_KLEP7,pyrH,241,reviewed (sp),sp|A6T4X3|PYRH_KLEP7 Uridylate kinase OS=Klebsiella pneumoniae subsp. pneumoniae (strain ATCC 700721,False
tr|A6T4X5|A6T4X5_KLEP7,ispC,400,unreviewed (tr),tr|A6T4X5|A6T4X5_KLEP7 1-deoxy-D-xylulose 5-phosphate reductoisomerase OS=Klebsiella pneumoniae subs,False
tr|A6T4X6|A6T4X6_KLEP7,uppS,258,unreviewed (tr),"tr|A6T4X6|A6T4X6_KLEP7 Ditrans,polycis-undecaprenyl-diphosphate synthase ((2E,6E)-farnesyl-diphospha",False
tr|A6T4Y1|A6T4Y1_KLEP7,lpxD,341,unreviewed (tr),tr|A6T4Y1|A6T4Y1_KLEP7 UDP-3-O-(3-hydroxymyristoyl)glucosamine N-acyltransferase OS=Klebsiella pneum,True
sp|A6T4Y2|FABZ_KLEP7,fabZ,151,reviewed (sp),sp|A6T4Y2|FABZ_KLEP7 3-hydroxyacyl-[acyl-carrier-protein] dehydratase FabZ OS=Klebsiella pneumoniae ,True
sp|A6T4Y5|RNH2_KLEP7,rnhB,199,reviewed (sp),sp|A6T4Y5|RNH2_KLEP7 Ribonuclease HII OS=Klebsiella pneumoniae subsp. pneumoniae (strain ATCC 700721,False
sp|A6T4Y7|ACCA_KLEP7,accA,319,reviewed (sp),sp|A6T4Y7|ACCA_KLEP7 Acetyl-coenzyme A carboxylase carboxyl transferase subunit alpha OS=Klebsiella ,True
tr|A6T4Z4|A6T4Z4_KLEP7,yaeJ,137,unreviewed (tr),tr|A6T4Z4|A6T4Z4_KLEP7 Peptidyl-tRNA hydrolase ArfB OS=Klebsiella pneumoniae subsp. pneumoniae (stra,False
tr|A6T503|A6T503_KLEP7,gmhB,205,unreviewed (tr),"tr|A6T503|A6T503_KLEP7 D,D-heptose 1,7-bisphosphate phosphatase OS=Klebsiella pneumoniae subsp. pneu",False
sp|A6T510|GLO2_KLEP7,gloB,251,reviewed (sp),sp|A6T510|GLO2_KLEP7 Hydroxyacylglutathione hydrolase OS=Klebsiella pneumoniae subsp. pneumoniae (st,False
sp|A6T512|RNH_KLEP7,rnhA,155,reviewed (sp),sp|A6T512|RNH_KLEP7 Ribonuclease H OS=Klebsiella pneumoniae subsp. pneumoniae (strain ATCC 700721 / ,False
tr|A6T513|A6T513_KLEP7,dnaQ,243,unreviewed (tr),tr|A6T513|A6T513_KLEP7 DNA polymerase III subunit epsilon OS=Klebsiella pneumoniae subsp. pneumoniae,False
tr|A6T517|A6T517_KLEP7,fadE,814,unreviewed (tr),tr|A6T517|A6T517_KLEP7 Acyl-coenzyme A dehydrogenase OS=Klebsiella pneumoniae subsp. pneumoniae (str,False
sp|A6T518|GMHA_KLEP7,gmhA,193,reviewed (sp),sp|A6T518|GMHA_KLEP7 Phosphoheptose isomerase OS=Klebsiella pneumoniae subsp. pneumoniae (strain ATC,False
sp|A6T522|NQRB_KLEP7,nqrB,412,reviewed (sp),sp|A6T522|NQRB_KLEP7 Na(+)-translocating NADH-quinone reductase subunit B OS=Klebsiella pneumoniae s,False
tr|A6T524|A6T524_KLEP7,nqrD,212,unreviewed (tr),tr|A6T524|A6T524_KLEP7 Na(+)-translocating NADH-quinone reductase subunit D OS=Klebsiella pneumoniae,False
sp|A6T525|NQRE_KLEP7,nqrE,198,reviewed (sp),sp|A6T525|NQRE_KLEP7 Na(+)-translocating NADH-quinone reductase subunit E OS=Klebsiella pneumoniae s,False
sp|A6T526|NQRF_KLEP7,nqrF,407,reviewed (sp),sp|A6T526|NQRF_KLEP7 Na(+)-translocating NADH-quinone reductase subunit F OS=Klebsiella pneumoniae s,False
tr|A6T529|A6T529_KLEP7,dinB,362,unreviewed (tr),tr|A6T529|A6T529_KLEP7 DNA polymerase IV OS=Klebsiella pneumoniae subsp. pneumoniae (strain ATCC 700,False
tr|A6T540|A6T540_KLEP7,csiD,338,unreviewed (tr),tr|A6T540|A6T540_KLEP7 Glutarate 2-hydroxylase OS=Klebsiella pneumoniae subsp. pneumoniae (strain AT,False
sp|A6T562|PROB_KLEP7,proB,367,reviewed (sp),sp|A6T562|PROB_KLEP7 Glutamate 5-kinase OS=Klebsiella pneumoniae subsp. pneumoniae (strain ATCC 7007,False
tr|A6T587|A6T587_KLEP7,eutC,258,unreviewed (tr),tr|A6T587|A6T587_KLEP7 Ethanolamine ammonia-lyase small subunit OS=Klebsiella pneumoniae subsp. pneu,False
tr|A6T588|A6T588_KLEP7,eutB,462,unreviewed (tr),tr|A6T588|A6T588_KLEP7 Ethanolamine ammonia-lyase large subunit OS=Klebsiella pneumoniae subsp. pneu,False
tr|A6T5A4|A6T5A4_KLEP7,ddl,376,unreviewed (tr),tr|A6T5A4|A6T5A4_KLEP7 D-alanine--D-alanine ligase OS=Klebsiella pneumoniae subsp. pneumoniae (strai,False
tr|A6T5B3|A6T5B3_KLEP7,aroL,177,unreviewed (tr),tr|A6T5B3|A6T5B3_KLEP7 Shikimate kinase 1 OS=Klebsiella pneumoniae subsp. pneumoniae (strain ATCC 70,False
sp|A6T5D8|TGT_KLEP7,tgt,375,reviewed (sp),sp|A6T5D8|TGT_KLEP7 Queuine tRNA-ribosyltransferase OS=Klebsiella pneumoniae subsp. pneumoniae (stra,False
tr|A6T5E7|A6T5E7_KLEP7,ribD,367,unreviewed (tr),tr|A6T5E7|A6T5E7_KLEP7 Riboflavin biosynthesis protein RibD OS=Klebsiella pneumoniae subsp. pneumoni,False
sp|A6T5E8|RISB_KLEP7,ribH,156,reviewed (sp),"sp|A6T5E8|RISB_KLEP7 6,7-dimethyl-8-ribityllumazine synthase OS=Klebsiella pneumoniae subsp. pneumon",False
tr|A6T5F0|A6T5F0_KLEP7,thiL,323,unreviewed (tr),tr|A6T5F0|A6T5F0_KLEP7 Thiamine-monophosphate kinase OS=Klebsiella pneumoniae subsp. pneumoniae (str,False
sp|A6T5F3|DXS_KLEP7,dxs,620,reviewed (sp),sp|A6T5F3|DXS_KLEP7 1-deoxy-D-xylulose-5-phosphate synthase OS=Klebsiella pneumoniae subsp. pneumoni,False
sp|A6T5H1|CYOE_KLEP7,cyoE,295,reviewed (sp),sp|A6T5H1|CYOE_KLEP7 Protoheme IX farnesyltransferase OS=Klebsiella pneumoniae subsp. pneumoniae (st,False
tr|A6T5H2|A6T5H2_KLEP7,cyoD,109,unreviewed (tr),tr|A6T5H2|A6T5H2_KLEP7 Cytochrome bo(3) ubiquinol oxidase subunit 4 OS=Klebsiella pneumoniae subsp. ,False
tr|A6T5H4|A6T5H4_KLEP7,cyoB,663,unreviewed (tr),tr|A6T5H4|A6T5H4_KLEP7 Cytochrome bo(3) ubiquinol oxidase subunit 1 OS=Klebsiella pneumoniae subsp. ,False
sp|A6T5H9|TIG_KLEP7,tig,432,reviewed (sp),sp|A6T5H9|TIG_KLEP7 Trigger factor OS=Klebsiella pneumoniae subsp. pneumoniae (strain ATCC 700721 / ,False
tr|A6T5I0|A6T5I0_KLEP7,clpP,194,unreviewed (tr),tr|A6T5I0|A6T5I0_KLEP7 ATP-dependent Clp protease proteolytic subunit OS=Klebsiella pneumoniae subsp,False
sp|A6T5I1|CLPX_KLEP7,clpX,424,reviewed (sp),sp|A6T5I1|CLPX_KLEP7 ATP-dependent Clp protease ATP-binding subunit ClpX OS=Klebsiella pneumoniae su,False
tr|A6T5I2|A6T5I2_KLEP7,lon,784,unreviewed (tr),tr|A6T5I2|A6T5I2_KLEP7 Lon protease OS=Klebsiella pneumoniae subsp. pneumoniae (strain ATCC 700721 /,False
tr|A6T5I3|A6T5I3_KLEP7,hupB,90,unreviewed (tr),tr|A6T5I3|A6T5I3_KLEP7 DNA-binding protein HU-beta OS=Klebsiella pneumoniae subsp. pneumoniae (strai,False
sp|A6T5I7|QUEC_KLEP7,queC,233,reviewed (sp),sp|A6T5I7|QUEC_KLEP7 7-cyano-7-deazaguanine synthase OS=Klebsiella pneumoniae subsp. pneumoniae (str,False
