uniprot_id,gene,length,molecular_weight,isoelectric_point,instability_index,aromaticity,gravy,charge_ph7,aa_A,aa_C,aa_D,aa_E,aa_F,aa_G,aa_H,aa_I,aa_K,aa_L,aa_M,aa_N,aa_P,aa_Q,aa_R,aa_S,aa_T,aa_V,aa_W,aa_Y,dp_LL,dp_VV,dp_FF,dp_WW,dp_GG,dp_PP,dp_KK,dp_RR,dp_DE,dp_KR,hydrophobic_fraction,positive_fraction,negative_fraction,charge_ratio,polar_fraction,tiny_fraction,cysteine_count,sequence_entropy
sp|A6T4Y7|ACCA_KLEP7,accA,319,35311.22,5.495,43.852,0.0627,-0.211,-6.641,0.11599,0.00627,0.0627,0.08777,0.02821,0.07837,0.01254,0.0721,0.05016,0.10972,0.03448,0.02194,0.05016,0.02821,0.0815,0.05329,0.02508,0.04702,0.00627,0.02821,0.00943,0.0,0.0,0.0,0.01258,0.0,0.0,0.00943,0.01258,0.0,0.326,0.1442,0.1505,-0.0063,0.1285,0.2476,2,4.0194
tr|A6T5N3|A6T5N3_KLEP7,dnaX,635,69604.79,6.08,46.731,0.0425,-0.2394,-8.332,0.14488,0.00945,0.04409,0.08346,0.01732,0.04252,0.02362,0.03622,0.04094,0.12126,0.01732,0.02047,0.06457,0.05827,0.07402,0.05354,0.05354,0.06929,0.00945,0.01575,0.0142,0.00315,0.00158,0.0,0.0,0.00789,0.00473,0.00315,0.00315,0.0,0.2866,0.1386,0.1276,0.011,0.1858,0.2409,6,3.9843
sp|A6T5R0|LPXH_KLEP7,lpxH,240,27086.71,5.823,35.344,0.0875,-0.0654,-9.252,0.11667,0.00833,0.07083,0.05417,0.05,0.0625,0.05833,0.0625,0.02083,0.10417,0.03333,0.02083,0.04583,0.05417,0.06667,0.03333,0.03333,0.06667,0.02083,0.01667,0.00418,0.01255,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3542,0.1458,0.125,0.0208,0.1417,0.2125,2,4.1035
tr|A6T5S5|A6T5S5_KLEP7,lpxL,306,35055.87,9.717,46.222,0.1078,-0.0618,9.391,0.0817,0.00654,0.01961,0.06536,0.03595,0.07516,0.01634,0.04575,0.03595,0.12745,0.05882,0.03268,0.0719,0.02288,0.0817,0.03922,0.05882,0.05229,0.03922,0.03268,0.01967,0.00328,0.0,0.0,0.0,0.00656,0.0,0.00984,0.0,0.0,0.3922,0.134,0.085,0.049,0.1536,0.1961,2,4.1015
sp|A6T748|FABA_KLEP7,fabA,172,19083.93,5.712,22.254,0.1047,-0.068,-2.718,0.05814,0.01163,0.07558,0.05233,0.05233,0.13372,0.01163,0.0407,0.06395,0.11628,0.04651,0.02907,0.0407,0.02326,0.05233,0.01744,0.04651,0.07558,0.01744,0.03488,0.00585,0.0,0.00585,0.0,0.0117,0.0,0.00585,0.00585,0.0,0.0117,0.3837,0.1279,0.1279,0.0,0.1163,0.2093,2,4.0572
sp|A6T7F1|FABH_KLEP7,fabH,317,33421.66,4.932,23.312,0.0599,0.1994,-13.591,0.14511,0.01577,0.05678,0.05678,0.02839,0.09148,0.02208,0.06309,0.02524,0.08517,0.02524,0.03155,0.03155,0.02839,0.04732,0.05363,0.07256,0.08833,0.00946,0.02208,0.00633,0.01266,0.0,0.0,0.00633,0.0,0.00316,0.00316,0.00949,0.0,0.3218,0.0946,0.1136,-0.0189,0.1861,0.2902,5,4.0377
tr|A6T7Z6|A6T7Z6_KLEP7,fabI,262,27910.75,5.433,22.422,0.0763,0.1962,-6.653,0.14122,0.01527,0.04962,0.06489,0.0458,0.0916,0.01908,0.06489,0.0458,0.08779,0.03435,0.04198,0.03053,0.01145,0.0458,0.06489,0.03817,0.07634,0.00382,0.02672,0.00383,0.00766,0.0,0.0,0.00383,0.0,0.0,0.00383,0.00383,0.00383,0.3397,0.1107,0.1145,-0.0038,0.1565,0.2977,4,4.0383
tr|A6TAI2|A6TAI2_KLEP7,pheT,795,86962.35,5.058,34.617,0.0528,-0.0833,-31.512,0.09308,0.01635,0.06918,0.07925,0.0239,0.08176,0.01887,0.06289,0.04277,0.10692,0.01509,0.03522,0.04277,0.03019,0.06667,0.04403,0.04654,0.0956,0.01006,0.01887,0.00882,0.01259,0.00126,0.0,0.0063,0.0,0.00126,0.00504,0.00252,0.00126,0.3333,0.1283,0.1484,-0.0201,0.156,0.2189,13,4.0665
sp|A6TAI3|SYFA_KLEP7,pheS,327,36798.25,5.502,35.201,0.0887,-0.3382,-11.345,0.08869,0.00306,0.0581,0.07951,0.06116,0.07339,0.03364,0.04587,0.03364,0.0948,0.03058,0.05505,0.05199,0.0367,0.07034,0.03058,0.06116,0.06422,0.00612,0.02141,0.00307,0.0,0.0092,0.0,0.00307,0.00613,0.00307,0.00307,0.0,0.0,0.3242,0.1376,0.1376,0.0,0.1835,0.1927,1,4.1117
tr|A6TAZ4|A6TAZ4_KLEP7,ftsI,582,63366.92,6.506,41.213,0.0687,-0.1174,-4.194,0.08591,0.00344,0.05498,0.04811,0.02921,0.0945,0.02921,0.05326,0.0378,0.0945,0.03265,0.03436,0.06873,0.03952,0.05842,0.0567,0.04983,0.08935,0.01031,0.02921,0.00688,0.00516,0.0,0.0,0.01033,0.00344,0.00516,0.00516,0.00344,0.0,0.3385,0.1254,0.1031,0.0223,0.1804,0.2371,2,4.1141
sp|A6TBK7|SYM_KLEP7,metG,677,76151.72,5.319,33.489,0.1064,-0.2914,-19.488,0.09158,0.01182,0.07238,0.06204,0.05465,0.06499,0.02068,0.0517,0.05908,0.08419,0.0325,0.03988,0.04874,0.04136,0.04727,0.05908,0.04579,0.06056,0.01773,0.03397,0.00444,0.00444,0.00296,0.0,0.00296,0.0,0.00296,0.0,0.00444,0.00444,0.3353,0.127,0.1344,-0.0074,0.1861,0.2157,8,4.1938
tr|A6TBT6|A6TBT6_KLEP7,gyrA,877,97031.05,4.976,34.151,0.0513,-0.2415,-39.282,0.10148,0.00342,0.0764,0.08894,0.0171,0.07298,0.0171,0.07982,0.04333,0.08438,0.02395,0.03763,0.03421,0.02965,0.07754,0.03877,0.05017,0.08894,0.00456,0.02965,0.00685,0.01027,0.0,0.0,0.00114,0.00114,0.00228,0.00799,0.01142,0.00342,0.3284,0.138,0.1653,-0.0274,0.1562,0.2132,3,4.0265
sp|A6TC02|ACCD_KLEP7,accD,306,33435.66,6.916,45.862,0.0523,-0.0856,-0.739,0.10784,0.01961,0.03922,0.08497,0.03268,0.06863,0.01307,0.04248,0.06209,0.09804,0.05556,0.01961,0.06536,0.02941,0.06209,0.07516,0.02941,0.07516,0.00654,0.01307,0.00328,0.01639,0.0,0.0,0.00984,0.00656,0.00328,0.00328,0.00328,0.0,0.3235,0.1373,0.1242,0.0131,0.1536,0.2516,6,4.0614
sp|A6TCI0|ERA_KLEP7,era,301,33882.67,6.474,35.294,0.0631,-0.2279,-2.482,0.07309,0.00332,0.05648,0.08306,0.0299,0.06645,0.02658,0.08306,0.06977,0.08638,0.03322,0.03987,0.03322,0.03322,0.06312,0.05316,0.04651,0.08638,0.00997,0.02326,0.01,0.00333,0.0,0.0,0.00333,0.0,0.00333,0.0,0.00667,0.00333,0.3522,0.1595,0.1395,0.0199,0.1728,0.1927,1,4.1123
tr|A6TE12|A6TE12_KLEP7,parC,752,83620.21,6.169,47.367,0.0505,-0.3266,-8.203,0.09176,0.00266,0.06383,0.0758,0.02261,0.06649,0.02261,0.05718,0.05851,0.11436,0.03989,0.03324,0.05585,0.0359,0.07048,0.05984,0.04255,0.05851,0.00798,0.01995,0.01198,0.00266,0.0,0.0,0.0,0.00533,0.00399,0.00932,0.00666,0.00266,0.3205,0.1516,0.1396,0.012,0.1715,0.2181,2,4.083
tr|A6TE19|A6TE19_KLEP7,parE,631,70074.81,5.437,40.5,0.065,-0.3079,-17.496,0.07765,0.01585,0.06656,0.07607,0.02853,0.07607,0.02219,0.03803,0.0523,0.11252,0.0206,0.03803,0.03962,0.04437,0.06339,0.06181,0.04437,0.08558,0.01268,0.02377,0.0127,0.00476,0.00159,0.0,0.00794,0.00159,0.00635,0.00952,0.00794,0.00794,0.3217,0.1379,0.1426,-0.0048,0.1886,0.2155,10,4.1219
tr|A6TE48|A6TE48_KLEP7,dnaG,581,65518.93,5.734,45.081,0.0792,-0.4003,-9.567,0.0809,0.01205,0.06713,0.0654,0.04131,0.07057,0.01721,0.04131,0.04131,0.12909,0.02582,0.03959,0.0568,0.06024,0.07573,0.04303,0.04991,0.04475,0.00688,0.03098,0.01379,0.00345,0.0,0.0,0.00345,0.00517,0.00345,0.00172,0.0,0.0069,0.3201,0.1343,0.1325,0.0017,0.1928,0.1945,7,4.1092
sp|A6TEK8|MURA_KLEP7,murA,419,44584.74,5.613,29.013,0.043,0.0632,-8.561,0.11456,0.01193,0.05251,0.06444,0.02387,0.10263,0.01909,0.08115,0.04296,0.09308,0.02387,0.03103,0.04057,0.03819,0.05489,0.04296,0.06444,0.07876,0.00716,0.01193,0.00718,0.0,0.0,0.0,0.00957,0.0,0.0,0.0,0.0,0.0,0.3198,0.1169,0.1169,0.0,0.1766,0.2601,5,4.0425
sp|A6TEU8|RPOA_KLEP7,rpoA,329,36465.26,4.982,41.589,0.0304,-0.2122,-18.521,0.07599,0.01216,0.06383,0.10942,0.01216,0.06079,0.02432,0.07295,0.04863,0.1155,0.0152,0.02736,0.04863,0.0304,0.06991,0.04863,0.05471,0.09119,0.00304,0.0152,0.01524,0.0,0.0,0.0,0.0,0.00305,0.00305,0.0061,0.0122,0.0,0.3252,0.1429,0.1733,-0.0304,0.1611,0.1854,4,4.0044
sp|A6TEV5|RS5_KLEP7,rpsE,167,17647.28,10.275,29.671,0.0359,-0.1383,10.406,0.11976,0.0,0.01796,0.05988,0.02395,0.12575,0.02395,0.05988,0.07784,0.05389,0.04192,0.05389,0.02994,0.02994,0.06587,0.04192,0.05389,0.10778,0.0,0.01198,0.0,0.01205,0.0,0.0,0.01205,0.0,0.0,0.00602,0.0,0.00602,0.2994,0.1677,0.0778,0.0898,0.1796,0.2874,0,3.9274
tr|A6TFM3|A6TFM3_KLEP7,waaA,424,47685.97,9.601,42.746,0.0708,-0.0783,10.745,0.08255,0.00472,0.03774,0.05425,0.0283,0.06132,0.03538,0.04717,0.04009,0.14858,0.0283,0.0283,0.05896,0.04009,0.07783,0.05425,0.06132,0.0684,0.01415,0.0283,0.03073,0.00236,0.0,0.0,0.00709,0.0,0.00236,0.00473,0.00236,0.00709,0.3632,0.1533,0.092,0.0613,0.184,0.1981,2,4.0825
tr|A6TG01|A6TG01_KLEP7,gyrB,804,90086.1,5.736,37.376,0.0709,-0.4708,-17.212,0.08085,0.00622,0.07214,0.0796,0.03109,0.07463,0.02488,0.05597,0.06841,0.08831,0.02736,0.0398,0.03731,0.0398,0.06219,0.05224,0.04975,0.06965,0.00746,0.03234,0.00623,0.00623,0.00125,0.0,0.00623,0.00125,0.00249,0.00996,0.00498,0.00374,0.3122,0.1555,0.1517,0.0037,0.1816,0.2077,5,4.1345
tr|A6TG04|A6TG04_KLEP7,dnaA,444,49717.07,9.094,43.754,0.0788,-0.3232,5.52,0.11712,0.0045,0.05405,0.06532,0.04505,0.05405,0.02027,0.05631,0.05405,0.0991,0.01351,0.06532,0.04505,0.03829,0.07883,0.04505,0.04279,0.06757,0.00901,0.02477,0.01354,0.00226,0.00677,0.0,0.00677,0.00226,0.00226,0.00226,0.00226,0.00677,0.3153,0.1532,0.1194,0.0338,0.1914,0.2162,2,4.0806
sp|A6TG41|ATPL_KLEP7,atpE,79,8256.04,4.437,13.975,0.0759,1.2671,-2.719,0.16456,0.0,0.03797,0.02532,0.05063,0.12658,0.0,0.10127,0.01266,0.1519,0.10127,0.02532,0.03797,0.02532,0.02532,0.0,0.01266,0.07595,0.0,0.02532,0.02564,0.0,0.01282,0.0,0.01282,0.0,0.0,0.0,0.0,0.0,0.5063,0.038,0.0633,-0.0253,0.0633,0.2911,0,3.5777
tr|A6TGM9|A6TGM9_KLEP7,murB,342,37852.66,6.008,34.037,0.0819,-0.1553,-6.48,0.10526,0.01754,0.03509,0.07018,0.03509,0.07895,0.03216,0.05848,0.03509,0.09357,0.01462,0.04094,0.04678,0.06725,0.05263,0.04386,0.04971,0.07602,0.02047,0.02632,0.00587,0.00293,0.00293,0.0,0.00293,0.0,0.0,0.0,0.0,0.0,0.3246,0.1199,0.1053,0.0146,0.2018,0.2281,6,4.1486
sp|A6TGP1|RPOC_KLEP7,rpoC,1407,155260.44,6.465,38.147,0.0569,-0.2409,-6.488,0.08742,0.01066,0.05757,0.07818,0.02701,0.08173,0.01421,0.06539,0.06041,0.09879,0.02559,0.03554,0.04051,0.03483,0.07107,0.05046,0.05544,0.07534,0.0064,0.02345,0.00925,0.00569,0.0,0.0,0.0064,0.00071,0.00427,0.00569,0.00356,0.0064,0.322,0.1457,0.1357,0.01,0.1763,0.2196,15,4.0938
sp|A6TH78|RSGA_KLEP7,rsgA,353,39234.71,5.803,38.253,0.0623,-0.3569,-8.463,0.07082,0.01416,0.09065,0.05666,0.03116,0.07649,0.03116,0.06516,0.04816,0.09065,0.01133,0.04249,0.0255,0.03683,0.07649,0.07365,0.04249,0.08499,0.00567,0.0255,0.01136,0.00852,0.0,0.0,0.00284,0.0,0.0,0.00852,0.0,0.0,0.3144,0.1558,0.1473,0.0085,0.1955,0.221,5,4.0943
tr|A6T4F8|A6T4F8_KLEP7,rpsT,61,6734.88,10.354,33.736,0.0492,-0.382,7.336,0.22951,0.0,0.03279,0.03279,0.03279,0.03279,0.03279,0.08197,0.14754,0.04918,0.04918,0.06557,0.01639,0.06557,0.04918,0.0,0.03279,0.03279,0.0,0.01639,0.0,0.0,0.0,0.0,0.0,0.0,0.01667,0.0,0.0,0.0,0.2623,0.2295,0.0656,0.1639,0.1639,0.2623,0,3.6733
tr|A6T4M6|A6T4M6_KLEP7,ftsL,121,13569.6,6.188,33.998,0.0248,0.0041,-2.58,0.06612,0.01653,0.04959,0.08264,0.01653,0.05785,0.04132,0.09917,0.04132,0.13223,0.01653,0.03306,0.02479,0.04959,0.07438,0.04132,0.06612,0.08264,0.00826,0.0,0.01667,0.01667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3554,0.157,0.1322,0.0248,0.1901,0.1653,2,3.9912
tr|A6T4N6|A6T4N6_KLEP7,ftsQ,276,31300.17,6.931,56.491,0.0725,-0.4931,-0.59,0.08696,0.0,0.05435,0.05797,0.02174,0.06159,0.01449,0.03986,0.03986,0.09783,0.03986,0.05072,0.03986,0.09058,0.07246,0.05797,0.05072,0.07246,0.02536,0.02536,0.00364,0.00364,0.0,0.0,0.0,0.0,0.0,0.00727,0.00364,0.00727,0.3225,0.1268,0.1123,0.0145,0.25,0.2065,0,4.1045
tr|A6T4N7|A6T4N7_KLEP7,ftsA,420,45313.41,5.752,37.844,0.0429,-0.0167,-10.496,0.0881,0.02143,0.04524,0.07619,0.00952,0.09524,0.03095,0.06905,0.04762,0.08571,0.01905,0.03095,0.03333,0.04762,0.05,0.05476,0.04524,0.11667,0.00476,0.02857,0.00477,0.01193,0.0,0.0,0.01432,0.00477,0.0,0.0,0.00716,0.00477,0.3333,0.1286,0.1214,0.0071,0.1786,0.2381,9,4.0633
tr|A6T4N8|A6T4N8_KLEP7,ftsZ,383,40341.43,4.649,25.227,0.0418,-0.0243,-19.613,0.1201,0.0,0.07311,0.06789,0.03394,0.10966,0.00783,0.05744,0.04439,0.07572,0.04178,0.04178,0.03916,0.03655,0.047,0.03394,0.06527,0.09661,0.0,0.00783,0.00785,0.01309,0.00262,0.0,0.01571,0.0,0.00262,0.0,0.00785,0.00524,0.3133,0.0992,0.141,-0.0418,0.1775,0.2637,0,3.9457
sp|A6T4X2|EFTS_KLEP7,tsf,283,30449.61,5.148,28.971,0.0495,-0.142,-9.693,0.13074,0.00707,0.04947,0.11307,0.03534,0.08834,0.0106,0.06007,0.09894,0.06007,0.03534,0.02827,0.01767,0.03887,0.0318,0.0424,0.0318,0.10601,0.0,0.01413,0.00355,0.00355,0.0,0.0,0.00355,0.0,0.01064,0.00355,0.00355,0.0,0.311,0.1413,0.1625,-0.0212,0.1413,0.2615,2,3.9119
sp|A6T4Y3|LPXA_KLEP7,lpxA,262,28095.71,6.45,29.858,0.0573,0.0237,-3.411,0.0916,0.01908,0.04198,0.06107,0.03817,0.1145,0.0458,0.08779,0.03435,0.05725,0.01527,0.05344,0.03435,0.03053,0.05725,0.03817,0.05344,0.10687,0.0,0.01908,0.00766,0.00766,0.00383,0.0,0.01533,0.00383,0.0,0.00383,0.0,0.00383,0.3244,0.1374,0.1031,0.0344,0.1756,0.2443,5,4.0506
sp|A6T4Y4|LPXB_KLEP7,lpxB,383,42436.09,7.626,38.819,0.0653,0.0104,0.381,0.13055,0.01828,0.05744,0.06527,0.03916,0.06266,0.02089,0.04439,0.04961,0.12794,0.03655,0.01828,0.05222,0.03916,0.07572,0.02872,0.03916,0.06789,0.01044,0.01567,0.01832,0.00785,0.0,0.0,0.0,0.0,0.00262,0.00785,0.00524,0.00785,0.342,0.1462,0.1227,0.0235,0.1253,0.2219,7,4.0505
tr|A6T4Y6|A6T4Y6_KLEP7,dnaE,1160,130029.24,5.152,34.242,0.0853,-0.2353,-43.194,0.08362,0.01034,0.07586,0.07586,0.04483,0.08362,0.02155,0.0569,0.04914,0.10431,0.03276,0.02672,0.04655,0.03879,0.06552,0.03707,0.03966,0.06638,0.00776,0.03276,0.00604,0.00345,0.0,0.0,0.00518,0.00173,0.00518,0.00259,0.00518,0.00604,0.3457,0.1362,0.1517,-0.0155,0.1422,0.2043,12,4.1239
tr|A6T5E0|A6T5E0_KLEP7,secD,604,65250.65,6.899,37.823,0.0497,0.1243,-0.687,0.1043,0.00166,0.04801,0.05629,0.02318,0.08113,0.00497,0.09272,0.04636,0.11258,0.02152,0.04967,0.0298,0.04636,0.05795,0.05464,0.06126,0.08113,0.00166,0.02483,0.00663,0.01161,0.0,0.0,0.00498,0.0,0.00498,0.0,0.00498,0.00332,0.3576,0.1093,0.1043,0.005,0.2119,0.2401,1,3.9821
tr|A6T5E1|A6T5E1_KLEP7,secF,323,35488.93,5.718,29.172,0.0836,0.3929,-5.535,0.07121,0.0031,0.04334,0.05263,0.04954,0.08669,0.01858,0.09598,0.03096,0.10836,0.03406,0.02786,0.02786,0.04025,0.04954,0.0743,0.05573,0.09598,0.01548,0.01858,0.00311,0.01242,0.0,0.0,0.00621,0.00311,0.0,0.00311,0.0,0.00621,0.418,0.0991,0.096,0.0031,0.1981,0.2322,1,4.0621
sp|A6T6Y1|IF1_KLEP7,infA,72,8249.49,9.22,37.35,0.0556,-0.3542,1.349,0.02778,0.0,0.04167,0.08333,0.02778,0.06944,0.02778,0.06944,0.06944,0.08333,0.05556,0.05556,0.02778,0.01389,0.08333,0.04167,0.09722,0.09722,0.0,0.02778,0.0,0.01408,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3611,0.1806,0.125,0.0556,0.2083,0.1389,0,4.0009
tr|A6T703|A6T703_KLEP7,rpsA,557,61176.34,4.896,26.92,0.0539,-0.2932,-29.508,0.08259,0.00359,0.07361,0.10952,0.03052,0.08618,0.01436,0.05206,0.0772,0.08079,0.01077,0.04309,0.01795,0.02513,0.05386,0.04668,0.04309,0.12567,0.01077,0.01257,0.0054,0.01799,0.0,0.0,0.0054,0.0,0.0036,0.0054,0.01079,0.00719,0.3232,0.1454,0.1831,-0.0377,0.158,0.2154,2,3.9579
sp|A6T707|LPXK_KLEP7,lpxK,326,35554.8,9.505,34.864,0.0644,0.089,5.404,0.11963,0.00613,0.05828,0.03374,0.01534,0.08589,0.01534,0.03988,0.02454,0.11656,0.02454,0.02147,0.05521,0.04601,0.08589,0.04294,0.04601,0.1135,0.03067,0.0184,0.01846,0.02154,0.00308,0.00615,0.00923,0.00308,0.0,0.00615,0.00615,0.0,0.3589,0.1258,0.092,0.0337,0.1564,0.2485,2,3.9881
tr|A6TAI6|A6TAI6_KLEP7,infC,113,13245.41,9.785,32.387,0.0708,-0.7416,8.283,0.0354,0.0,0.06195,0.0885,0.04425,0.06195,0.00885,0.06195,0.15929,0.07965,0.04425,0.00885,0.02655,0.0708,0.0708,0.04425,0.02655,0.07965,0.0,0.02655,0.0,0.00893,0.0,0.0,0.0,0.0,0.03571,0.0,0.00893,0.0,0.3363,0.2389,0.1504,0.0885,0.1504,0.1416,0,3.9053
sp|A6TBR5|RL25_KLEP7,rplY,94,10580.09,9.52,41.158,0.0851,-0.3298,3.375,0.1383,0.0,0.05319,0.07447,0.05319,0.05319,0.03191,0.05319,0.10638,0.04255,0.02128,0.03191,0.03191,0.04255,0.06383,0.02128,0.03191,0.11702,0.01064,0.02128,0.0,0.02151,0.0,0.0,0.01075,0.0,0.0,0.01075,0.0,0.0,0.3191,0.2021,0.1277,0.0745,0.1277,0.2128,0,3.9801
sp|A6TCD0|DER_KLEP7,der,492,55222.42,5.799,31.726,0.0691,-0.3307,-7.492,0.0752,0.00203,0.0752,0.0752,0.03455,0.07317,0.01626,0.06504,0.05691,0.0874,0.02642,0.04065,0.04472,0.03049,0.07927,0.04472,0.04878,0.08943,0.00813,0.02642,0.01018,0.01629,0.0,0.0,0.00407,0.00407,0.00204,0.00407,0.00611,0.01018,0.3374,0.1524,0.1504,0.002,0.1646,0.1931,1,4.0896
