gene,druggability_score,priority,mean_plddt,pct_confident,plddt_status,best_pocket_score,n_pockets,center_x,center_y,center_z,ligand,best_affinity,ref_affinity,delta_vs_ref,final_score,final_rank
fabH,0.7436,Priority 2 (medium),,,,,,,,,,,,,0.4011,17
parE,0.7426,Priority 2 (medium),,,,,,,,,,,,,0.4008,18
hisS,0.7412,Priority 2 (medium),,,,,,,,,,,,,0.4004,19
murB,0.7411,Priority 2 (medium),,,,,,,,,,,,,0.4003,20
murD,0.7355,Priority 2 (medium),,,,,,,,,,,,,0.3986,21
rplJ,0.7303,Priority 2 (medium),,,,,,,,,,,,,0.3971,22
der,0.724,Priority 2 (medium),,,,,,,,,,,,,0.3952,23
lpxD,0.7217,Priority 2 (medium),,,,,,,,,,,,,0.3945,24
pheS,0.7184,Priority 2 (medium),,,,,,,,,,,,,0.3935,25
secD,0.7152,Priority 2 (medium),,,,,,,,,,,,,0.3926,26
ftsA,0.7136,Priority 2 (medium),,,,,,,,,,,,,0.3921,27
glyS,0.7132,Priority 2 (medium),,,,,,,,,,,,,0.392,28
murF,0.7115,Priority 2 (medium),,,,,,,,,,,,,0.3914,29
rpoA,0.7109,Priority 2 (medium),,,,,,,,,,,,,0.3913,30
murE,0.7091,Priority 2 (medium),,,,,,,,,,,,,0.3907,31
ftsZ,0.7082,Priority 2 (medium),,,,,,,,,,,,,0.3905,32
rpsH,0.7075,Priority 2 (medium),,,,,,,,,,,,,0.3902,33
rpsJ,0.702,Priority 2 (medium),,,,,,,,,,,,,0.3886,34
rpsM,0.6959,Priority 2 (medium),,,,,,,,,,,,,0.3868,35
rpsE,0.6956,Priority 2 (medium),,,,,,,,,,,,,0.3867,36
fabA,0.6868,Priority 2 (medium),,,,,,,,,,,,,0.384,37
dnaB,0.6843,Priority 2 (medium),,,,,,,,,,,,,0.3833,38
lpxC,0.6771,Priority 2 (medium),,,,,,,,,,,,,0.3811,39
dnaE,0.6711,Priority 2 (medium),,,,,,,,,,,,,0.3793,40
rplA,0.6682,Priority 2 (medium),,,,,,,,,,,,,0.3785,41
ftsQ,0.6664,Priority 2 (medium),,,,,,,,,,,,,0.3779,42
rsgA,0.6633,Priority 2 (medium),,,,,,,,,,,,,0.377,43
rplF,0.6625,Priority 2 (medium),,,,,,,,,,,,,0.3767,44
tsf,0.6623,Priority 2 (medium),,,,,,,,,,,,,0.3767,45
atpC,0.6594,Priority 2 (medium),,,,,,,,,,,,,0.3758,46
trmD,0.659,Priority 2 (medium),,,,,,,,,,,,,0.3757,47
parC,0.6544,Priority 2 (medium),,,,,,,,,,,,,0.3743,48
dnaA,0.652,Priority 2 (medium),,,,,,,,,,,,,0.3736,49
rplX,0.6486,Priority 2 (medium),,,,,,,,,,,,,0.3726,50
accA,0.6444,Priority 2 (medium),,,,,,,,,,,,,0.3713,51
rplO,0.638,Priority 2 (medium),,,,,,,,,,,,,0.3694,52
murG,0.634,Priority 2 (medium),,,,,,,,,,,,,0.3682,53
rplI,0.6262,Priority 2 (medium),,,,,,,,,,,,,0.3659,54
trpS,0.6238,Priority 2 (medium),,,,,,,,,,,,,0.3651,55
rplS,0.6198,Priority 2 (medium),,,,,,,,,,,,,0.3639,56
atpH,0.6097,Priority 2 (medium),,,,,,,,,,,,,0.3609,57
accD,0.6026,Priority 2 (medium),,,,,,,,,,,,,0.3588,58
rimM,0.6025,Priority 2 (medium),,,,,,,,,,,,,0.3587,59
rpoD,0.5966,Priority 2 (medium),,,,,,,,,,,,,0.357,60
rpsU,0.5921,Priority 2 (medium),,,,,,,,,,,,,0.3556,61
secF,0.581,Priority 2 (medium),,,,,,,,,,,,,0.3523,62
rplU,0.5806,Priority 2 (medium),,,,,,,,,,,,,0.3522,63
secB,0.579,Priority 2 (medium),,,,,,,,,,,,,0.3517,64
dnaX,0.572,Priority 2 (medium),,,,,,,,,,,,,0.3496,65
rpoE,0.5717,Priority 2 (medium),,,,,,,,,,,,,0.3495,66
rplY,0.567,Priority 2 (medium),,,,,,,,,,,,,0.3481,67
infA,0.565,Priority 2 (medium),,,,,,,,,,,,,0.3475,68
dnaC,0.5602,Priority 2 (medium),,,,,,,,,,,,,0.3461,69
dnaG,0.5547,Priority 2 (medium),,,,,,,,,,,,,0.3444,70
waaF,0.5545,Priority 2 (medium),,,,,,,,,,,,,0.3443,71
waaC,0.5532,Priority 2 (medium),,,,,,,,,,,,,0.344,72
fabZ,0.5501,Priority 2 (medium),,,,,,,,,,,,,0.343,73
atpF,0.5454,Priority 2 (medium),,,,,,,,,,,,,0.3416,74
infC,0.5261,Priority 2 (medium),,,,,,,,,,,,,0.3358,75
ftsN,0.5208,Priority 2 (medium),,,,,,,,,,,,,0.3342,76
rbfA,0.5164,Priority 2 (medium),,,,,,,,,,,,,0.3329,77
rpsF,0.5061,Priority 2 (medium),,,,,,,,,,,,,0.3298,78
lpxK,0.4873,Priority 3 (low),,,,,,,,,,,,,0.3242,79
lpxH,0.4745,Priority 3 (low),,,,,,,,,,,,,0.3203,80
ftsL,0.4715,Priority 3 (low),,,,,,,,,,,,,0.3194,81
rpsT,0.4674,Priority 3 (low),,,,,,,,,,,,,0.3182,82
lpxB,0.4655,Priority 3 (low),,,,,,,,,,,,,0.3176,83
murI,0.4109,Priority 3 (low),,,,,,,,,,,,,0.3013,84
secG,0.4107,Priority 3 (low),,,,,,,,,,,,,0.3012,85
waaA,0.3998,Priority 3 (low),,,,,,,,,,,,,0.2979,86
rpsO,0.3833,Priority 3 (low),,,,,,,,,,,,,0.293,87
lpxL,0.3516,Priority 3 (low),,,,,,,,,,,,,0.2835,88
atpE,0.3292,Priority 3 (low),,,,,,,,,,,,,0.2768,89
secE,0.2832,Priority 3 (low),,,,,,,,,,,,,0.263,90
atpB,0.264,Priority 3 (low),,,,,,,,,,,,,0.2572,91
mraY,0.2637,Priority 3 (low),,,,,,,,,,,,,0.2571,92
ftsW,0.1824,Priority 3 (low),,,,,,,,,,,,,0.2327,93
