uniprot_id,gene,length,molecular_weight,isoelectric_point,instability_index,hydrophobic_fraction,druggability_score,rank,priority
tr|A6TCD3|A6TCD3_KLEP7,hisS,414,45972.42,5.228,26.864,0.3333,0.7412,20,Priority 2 (medium)
tr|A6TGM9|A6TGM9_KLEP7,murB,342,37852.66,6.008,34.037,0.3246,0.7411,21,Priority 2 (medium)
tr|A6T4N1|A6T4N1_KLEP7,murD,438,46862.25,5.233,26.128,0.3311,0.7355,22,Priority 2 (medium)
sp|A6TGN8|RL10_KLEP7,rplJ,165,17800.48,9.038,27.124,0.3091,0.7303,23,Priority 2 (medium)
sp|A6TCD0|DER_KLEP7,der,492,55222.42,5.799,31.726,0.3374,0.724,24,Priority 2 (medium)
tr|A6T4Y1|A6T4Y1_KLEP7,lpxD,341,35951.97,5.699,32.732,0.3343,0.7217,25,Priority 2 (medium)
sp|A6TAI3|SYFA_KLEP7,pheS,327,36798.25,5.502,35.201,0.3242,0.7184,26,Priority 2 (medium)
tr|A6T5E0|A6T5E0_KLEP7,secD,604,65250.65,6.899,37.823,0.3576,0.7152,27,Priority 2 (medium)
tr|A6T4N7|A6T4N7_KLEP7,ftsA,420,45313.41,5.752,37.844,0.3333,0.7136,28,Priority 2 (medium)
sp|A6TFH4|SYGB_KLEP7,glyS,689,76330.35,5.394,32.573,0.3251,0.7132,29,Priority 2 (medium)
tr|A6T4M9|A6T4M9_KLEP7,murF,452,47524.57,5.529,25.906,0.3031,0.7115,30,Priority 2 (medium)
sp|A6TEU8|RPOA_KLEP7,rpoA,329,36465.26,4.982,41.589,0.3252,0.7109,31,Priority 2 (medium)
tr|A6T4M8|A6T4M8_KLEP7,murE,495,53328.03,5.863,28.946,0.3152,0.7091,32,Priority 2 (medium)
tr|A6T4N8|A6T4N8_KLEP7,ftsZ,383,40341.43,4.649,25.227,0.3133,0.7082,33,Priority 2 (medium)
sp|A6TEV8|RS8_KLEP7,rpsH,130,14098.38,9.409,30.447,0.3308,0.7075,34,Priority 2 (medium)
sp|A6TEX3|RS10_KLEP7,rpsJ,103,11766.46,9.854,25.916,0.3107,0.702,35,Priority 2 (medium)
sp|A6TEV1|RS13_KLEP7,rpsM,118,13210.42,10.759,37.78,0.2881,0.6959,36,Priority 2 (medium)
sp|A6TEV5|RS5_KLEP7,rpsE,167,17647.28,10.275,29.671,0.2994,0.6956,37,Priority 2 (medium)
tr|A6TGT5|A6TGT5_KLEP7,lpxD,151,16241.36,6.084,26.918,0.3444,0.6868,38,Priority 2 (medium)
sp|A6T748|FABA_KLEP7,fabA,172,19083.93,5.712,22.254,0.3837,0.6868,39,Priority 2 (medium)
tr|A6TGW0|A6TGW0_KLEP7,dnaB,471,52464.53,4.946,54.016,0.3079,0.6843,40,Priority 2 (medium)
sp|A6T4N9|LPXC_KLEP7,lpxC,305,34045.71,5.547,32.135,0.3508,0.6771,41,Priority 2 (medium)
tr|A6T4Y6|A6T4Y6_KLEP7,dnaE,1160,130029.24,5.152,34.242,0.3457,0.6711,42,Priority 2 (medium)
sp|A6TGN6|RL1_KLEP7,rplA,234,24744.31,9.644,4.049,0.2949,0.6682,43,Priority 2 (medium)
tr|A6T4N6|A6T4N6_KLEP7,ftsQ,276,31300.17,6.931,56.491,0.3225,0.6664,44,Priority 2 (medium)
sp|A6TH78|RSGA_KLEP7,rsgA,353,39234.71,5.803,38.253,0.3144,0.6633,45,Priority 2 (medium)
sp|A6TEV7|RL6_KLEP7,rplF,177,18843.49,9.71,19.956,0.2994,0.6625,46,Priority 2 (medium)
sp|A6T4X2|EFTS_KLEP7,tsf,283,30449.61,5.148,28.971,0.311,0.6623,47,Priority 2 (medium)
sp|A6TG35|ATPE_KLEP7,atpC,139,15064.17,5.845,29.144,0.3237,0.6594,48,Priority 2 (medium)
sp|A6TCL5|TRMD_KLEP7,trmD,255,28465.97,5.308,47.701,0.3176,0.659,49,Priority 2 (medium)
tr|A6TE12|A6TE12_KLEP7,parC,752,83620.21,6.169,47.367,0.3205,0.6544,50,Priority 2 (medium)
tr|A6TG04|A6TG04_KLEP7,dnaA,444,49717.07,9.094,43.754,0.3153,0.652,51,Priority 2 (medium)
sp|A6TEW1|RL24_KLEP7,rplX,104,11316.07,10.211,10.208,0.2981,0.6486,52,Priority 2 (medium)
sp|A6T4Y7|ACCA_KLEP7,accA,319,35311.22,5.495,43.852,0.326,0.6444,53,Priority 2 (medium)
sp|A6TEV3|RL15_KLEP7,rplO,144,15134.39,11.151,46.683,0.2708,0.638,54,Priority 2 (medium)
sp|A6T4N3|MURG_KLEP7,murG,356,38043.55,9.569,36.126,0.3258,0.634,55,Priority 2 (medium)
sp|A6THB4|RL9_KLEP7,rplI,149,15792.88,6.16,16.246,0.3221,0.6262,56,Priority 2 (medium)
tr|A6THR4|A6THR4_KLEP7,trpS,335,37032.04,6.761,48.801,0.3194,0.6238,57,Priority 2 (medium)
sp|A6TCL4|RL19_KLEP7,rplS,115,13133.07,10.619,44.668,0.3217,0.6198,58,Priority 2 (medium)
sp|A6TG39|ATPD_KLEP7,atpH,177,19530.28,4.956,31.104,0.3446,0.6097,59,Priority 2 (medium)
sp|A6TC02|ACCD_KLEP7,accD,306,33435.66,6.916,45.862,0.3235,0.6026,60,Priority 2 (medium)
sp|A6TCL6|RIMM_KLEP7,rimM,182,20592.18,4.649,27.77,0.3681,0.6025,61,Priority 2 (medium)
tr|A6TE49|A6TE49_KLEP7,rpoD,613,70396.68,4.686,47.543,0.3034,0.5966,62,Priority 2 (medium)
sp|A6TE47|RS21_KLEP7,rpsU,71,8499.85,11.15,87.245,0.2394,0.5921,63,Priority 2 (medium)
tr|A6T5E1|A6T5E1_KLEP7,secF,323,35488.93,5.718,29.172,0.418,0.581,64,Priority 2 (medium)
sp|A6TEK5|RL21_KLEP7,rplU,103,11562.23,9.846,36.844,0.3301,0.5806,65,Priority 2 (medium)
sp|A6TFK4|SECB_KLEP7,secB,155,17190.12,4.233,47.159,0.3226,0.579,66,Priority 2 (medium)
tr|A6T5N3|A6T5N3_KLEP7,dnaX,635,69604.79,6.08,46.731,0.2866,0.572,67,Priority 2 (medium)
tr|A6TCI7|A6TCI7_KLEP7,rpoE,191,21719.45,5.382,51.979,0.3455,0.5717,68,Priority 2 (medium)
sp|A6TBR5|RL25_KLEP7,rplY,94,10580.09,9.52,41.158,0.3191,0.567,69,Priority 2 (medium)
sp|A6T6Y1|IF1_KLEP7,infA,72,8249.49,9.22,37.35,0.3611,0.565,70,Priority 2 (medium)
tr|A6THX3|A6THX3_KLEP7,dnaC,247,28473.45,8.73,44.824,0.332,0.5602,71,Priority 2 (medium)
tr|A6TE48|A6TE48_KLEP7,dnaG,581,65518.93,5.734,45.081,0.3201,0.5547,72,Priority 2 (medium)
tr|A6TFL5|A6TFL5_KLEP7,waaF,352,39239.87,8.143,49.091,0.3324,0.5545,73,Priority 2 (medium)
tr|A6TFL6|A6TFL6_KLEP7,waaC,313,34868.28,8.716,37.055,0.3099,0.5532,74,Priority 2 (medium)
sp|A6T4Y2|FABZ_KLEP7,fabZ,151,17024.74,6.429,36.912,0.3775,0.5501,75,Priority 2 (medium)
sp|A6TG40|ATPF_KLEP7,atpF,154,17129.53,5.724,50.045,0.2857,0.5454,76,Priority 2 (medium)
tr|A6TAI6|A6TAI6_KLEP7,infC,113,13245.41,9.785,32.387,0.3363,0.5261,77,Priority 2 (medium)
tr|A6TGC3|A6TGC3_KLEP7,ftsN,284,31903.55,9.541,50.838,0.2113,0.5208,78,Priority 2 (medium)
sp|A6TEI6|RBFA_KLEP7,rbfA,133,15096.28,6.616,46.296,0.3459,0.5164,79,Priority 2 (medium)
sp|A6THB1|RS6_KLEP7,rpsF,131,15116.74,5.25,60.715,0.2824,0.5061,80,Priority 2 (medium)
sp|A6T707|LPXK_KLEP7,lpxK,326,35554.8,9.505,34.864,0.3589,0.4873,81,Priority 3 (low)
sp|A6T5R0|LPXH_KLEP7,lpxH,240,27086.71,5.823,35.344,0.3542,0.4745,82,Priority 3 (low)
tr|A6T4M6|A6T4M6_KLEP7,ftsL,121,13569.6,6.188,33.998,0.3554,0.4715,83,Priority 3 (low)
tr|A6T4F8|A6T4F8_KLEP7,rpsT,61,6734.88,10.354,33.736,0.2623,0.4674,84,Priority 3 (low)
sp|A6T4Y4|LPXB_KLEP7,lpxB,383,42436.09,7.626,38.819,0.342,0.4655,85,Priority 3 (low)
tr|A6TGF1|A6TGF1_KLEP7,murI,260,28961.29,5.553,57.235,0.3615,0.4109,86,Priority 3 (low)
tr|A6TEJ4|A6TEJ4_KLEP7,secG,109,11205.76,5.564,24.094,0.3394,0.4107,87,Priority 3 (low)
tr|A6TFM3|A6TFM3_KLEP7,waaA,424,47685.97,9.601,42.746,0.3632,0.3998,88,Priority 3 (low)
sp|A6TEI4|RS15_KLEP7,rpsO,89,10208.63,10.462,53.927,0.3034,0.3833,89,Priority 3 (low)
tr|A6T5S5|A6T5S5_KLEP7,lpxL,306,35055.87,9.717,46.222,0.3922,0.3516,90,Priority 3 (low)
sp|A6TG41|ATPL_KLEP7,atpE,79,8256.04,4.437,13.975,0.5063,0.3292,91,Priority 3 (low)
tr|A6TGN3|A6TGN3_KLEP7,secE,127,13615.23,10.859,18.525,0.4488,0.2832,92,Priority 3 (low)
sp|A6TG42|ATP6_KLEP7,atpB,266,29952.51,6.789,42.059,0.515,0.264,93,Priority 3 (low)
sp|A6T4N0|MRAY_KLEP7,mraY,360,39937.3,9.647,26.486,0.4972,0.2637,94,Priority 3 (low)
tr|A6T4N2|A6T4N2_KLEP7,ftsW,424,47208.08,10.107,29.832,0.4693,0.1824,95,Priority 3 (low)
